be	6017
	119383
I	19540
of	15649
his	6218
with	6771
not	6967
have	5236
my	10825
will	4055
And	7068
and	18358
for	5629
to	15682
in	9633
a	12586
thou	4247
you	9129
is	7874
it	4920
as	4280
he	4548
me	4832
this	4809
the	23407
that	7543
your	6016
be	8339
	12857
I	11686
of	22761
his	5872
with	6070
not	8548
have	5589
but	4237
and	22184
for	6703
to	25322
was	11342
in	11523
a	13772
her	11427
you	5835
is	4932
she	8012
it	6800
as	7243
at	4835
he	5756
had	7412
the	26654
that	7966
be	12096
up	7076
	70077
upon	4098
we	9945
I	41474
of	77866
his	20420
out	7830
with	20056
from	9073
has	5017
its	4379
not	15738
said	4969
But	4181
have	12536
my	9379
them	5558
will	6382
but	14929
on	12421
then	4592
all	11140
could	6526
or	8534
what	4852
and	114098
for	20486
if	5988
to	68536
about	5942
by	10638
do	5093
like	4167
was	38016
one	8977
they	11112
in	44006
a	68348
an	7855
her	9022
you	15798
got	4001
is	22874
she	7600
their	6250
it	29256
no	7461
as	15342
at	12526
when	6776
who	4267
he	24293
would	9419
so	8250
some	4084
it.	4551
any	4964
It	7290
The	11833
been	6016
down	4047
me	6607
this	10077
had	16581
the	139514
which	7321
are	7446
into	4257
He	7322
that	34811
your	4109
were	9647
there	6581
him	8349
